dbn,school_name,num_takers,sat_reading_avg,sat_math_avg,sat_writing_avg,sat_total_avg
06M346,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,55,362,376,367,1105
06M348,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,70,380,395,399,1174
06M423,HIGH SCHOOL FOR EXCELLENCE AND INNOVATION,,,,,
06M457,GEORGE WASHINGTON YABC,7,394,357,346,1097
06M462,HIGH SCHOOL FOR INTERNATIONAL BUSINESS AND FINANCE,76,365,384,378,1127
06M463,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,63,369,380,349,1098
06M467,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE,94,363,378,361,1102
06M468,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES,24,400,422,402,1224
06M540,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,228,430,456,423,1309
06M552,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS,56,339,349,326,1014
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,65,364,378,348,1090
07X321,CROTONA ACADEMY HIGH SCHOOL,9,379,364,382,1125
07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL,34,310,324,311,945
07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,,,,,
07X381,BRONX HAVEN HIGH SCHOOL,,,,,
07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,43,361,359,357,1077
07X473,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL,63,351,375,371,1097
07X495,UNIVERSITY HEIGHTS SECONDARY SCHOOL,79,403,394,404,1201
07X500,HOSTOSsLINCOLN ACADEMY OF SCIENCE,66,420,426,411,1257
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,64,399,396,391,1186
07X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,62,362,378,363,1103
07X547,NEW EXPLORERS HIGH SCHOOL,28,367,356,361,1084
07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,44,387,411,383,1181
07X551,BRONX ACADEMY OF LETTERS,51,413,381,407,1201
07X600,ALFRED E. SMITH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,76,394,400,364,1158
07X655,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,47,398,416,370,1184
07X670,HEALTH OPPORTUNITIES HIGH SCHOOL,114,363,368,364,1095
08X269,BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,,,,,
08X282,WOMEN'S ACADEMY OF EXCELLENCE,44,407,386,378,1171
08X293,RENAISSANCE HIGH SCHOOL FOR MUSICAL THEATER & TECHNOLOGY,52,384,385,389,1158
08X295,GATEWAY SCHOOL FOR ENVIRONMENTAL RESEARCH AND TECHNOLOGY,41,416,390,394,1200
08X305,PABLO NERUDA ACADEMY FOR ARCHITECTURE AND WORLD STUDIES,67,337,361,340,1038
08X312,MILLENNIUM ART ACADEMY,67,387,402,375,1164
08X332,HOLCOMBE L. RUCKER SCHOOL OF COMMUNITY RESEARCH,39,363,371,350,1084
08X367,"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS",,,,,
08X376,"ANTONIA PANTOJA PREPARATORY ACADEMY, A COLLEGE BOARD SCHOOL",,,,,
08X377,BRONX COMMUNITY HIGH SCHOOL,9,367,369,376,1112
08X405,HERBERT H. LEHMAN HIGH SCHOOL,415,412,436,393,1241
08X408,HERBERT H. LEHMAN YABC,6,402,373,413,1188
08X432,BRONX BRIDGES HIGH SCHOOL,,,,,
08X452,BRONX GUILD,39,369,371,365,1105
08X507,STEVENSON YABC,,,,,
08X519,"FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUBLIC POLICY, THE",68,373,370,356,1099
08X530,BANANA KELLY HIGH SCHOOL,54,373,381,377,1131
08X537,BRONX ARENA HIGH SCHOOL,,,,,
08X540,SCHOOL FOR COMMUNITY RESEARCH AND LEARNING,16,366,400,368,1134
08X560,HIGH SCHOOL X560 s BRONX ACADEMY HIGH SCHOOL,9,404,368,399,1171
08X650,JANE ADDAMS HIGH SCHOOL FOR ACADEMIC CAREERS,78,377,359,376,1112
09X227,BRONX EXPEDITIONARY LEARNING HIGH SCHOOL,39,324,376,349,1049
09X231,EAGLE ACADEMY FOR YOUNG MEN,78,373,387,374,1134
09X239,"URBAN ASSEMBLY ACADEMY FOR HISTORY AND CITIZENSHIP FOR YOUNG MEN, THE",33,372,355,357,1084
09X241,"URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE",80,411,464,415,1290
09X250,EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,50,393,394,382,1169
09X252,MOTT HALL BRONX HIGH SCHOOL,67,369,367,356,1092
09X260,BRONX CENTER FOR SCIENCE AND MATHEMATICS,81,459,480,457,1396
09X263,VALIDUS PREPARATORY ACADEMY: AN EXPEDITIONARY LEARNING SCHOOL,74,356,363,356,1075
09X276,LEADERSHIP INSTITUTE,30,361,353,367,1081
