dbn,school_name,num_takers,sat_reading_avg,sat_math_avg,sat_writing_avg,sat_total_avg
18K617,HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDIA,37,404,393,386,1183
18K629,CULTURAL ACADEMY FOR THE ARTS AND SCIENCES,33,393,395,381,1169
18K633,HIGH SCHOOL FOR MEDICAL PROFESSIONS,75,386,380,393,1159
18K635,OLYMPUS ACADEMY,7,400,370,370,1140
18K637,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,35,363,381,367,1111
18K642,URBAN ACTION ACADEMY,40,376,385,374,1135
18K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,12,410,403,378,1191
19K409,EAST NEW YORK FAMILY ACADEMY,54,416,432,394,1242
19K420,FRANKLIN K. LANE HIGH SCHOOL,,,,,
19K431,THOMAS JEFFERSON YABC,,,,,
19K502,FDNY HIGH SCHOOL FOR FIRE AND LIFE SAFETY,37,341,349,333,1023
19K504,HIGH SCHOOL FOR CIVIL RIGHTS,47,363,349,342,1054
19K507,PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL,61,380,386,383,1149
19K510,WORLD ACADEMY FOR TOTAL COMMUNITY HEALTH HIGH SCHOOL,68,371,365,370,1106
19K583,MULTICULTURAL HIGH SCHOOL,29,279,322,286,887
19K615,TRANSIT TECH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,182,395,418,380,1193
19K618,ACADEMY OF INNOVATIVE TECHNOLOGY,60,371,371,354,1096
19K639,BROOKLYN LAB SCHOOL,57,360,385,363,1108
19K659,CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL,51,376,385,368,1129
19K660,W. H. MAXWELL CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,74,370,369,363,1102
19K683,"THE SCHOOL FOR CLASSICS: AN ACADEMY OF THINKERS, WRITERS AND PERFORMERS",38,383,400,374,1157
20K445,NEW UTRECHT HIGH SCHOOL,456,402,471,399,1272
20K485,HIGH SCHOOL OF TELECOMMUNICATION ARTS AND TECHNOLOGY,238,425,474,424,1323
20K490,FORT HAMILTON HIGH SCHOOL,694,417,478,411,1306
20K505,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,385,383,486,375,1244
20K609,THE URBAN ASSEMBLY SCHOOL FOR CRIMINAL JUSTICE,,,,,
20K658,FRANKLIN DELANO ROOSEVELT YABC,18,338,477,316,1131
21K337,INTERNATIONAL HIGH SCHOOL AT LAFAYETTE,54,326,386,314,1026
21K344,RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES,54,402,427,408,1237
21K348,HIGH SCHOOL OF SPORTS MANAGEMENT,39,388,398,378,1164
21K410,ABRAHAM LINCOLN HIGH SCHOOL,475,396,437,393,1226
21K412/21K411,ABRAHAM LINCOLN YABC/LEARNING TO WORK GED AT ABRAHAM LINCOLN,,,,,
21K468,KINGSBOROUGH EARLY COLLEGE SCHOOL,,,,,
21K525,EDWARD R. MURROW HIGH SCHOOL,727,468,496,467,1431
21K540,JOHN DEWEY HIGH SCHOOL,448,404,468,390,1262
21K559,LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC,40,384,375,365,1124
21K572,EXPEDITIONARY LEARNING SCHOOL FOR COMMUNITY LEADERS,40,353,370,356,1079
21K620,WILLIAM E. GRADY CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,95,394,414,376,1184
21K690,BROOKLYN STUDIO SECONDARY SCHOOL,119,429,449,435,1313
21K728,LIBERATION DIPLOMA PLUS,10,411,369,373,1153
22K405,MIDWOOD HIGH SCHOOL,824,478,519,476,1473
22K425,JAMES MADISON HIGH SCHOOL,518,436,475,439,1350
22K495,SHEEPSHEAD BAY HIGH SCHOOL,236,383,392,370,1145
22K535,LEON M. GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES,259,524,561,542,1627
22K555,BROOKLYN COLLEGE ACADEMY,131,456,456,440,1352
23K493,BROOKLYN COLLEGIATE: A COLLEGE BOARD SCHOOL,60,389,409,387,1185
23K514,FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL,55,361,371,359,1091
23K643,BROOKLYN DEMOCRACY ACADEMY,11,349,338,331,1018
23K646,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,7,311,371,311,993
23K647,METROPOLITAN DIPLOMA PLUS HIGH SCHOOL,17,350,346,332,1028
23K697,TEACHERS PREPARATORY HIGH SCHOOL,69,392,416,388,1196
24Q264,ACADEMY OF FINANCE AND ENTERPRISE,89,405,454,421,1280
24Q267,HIGH SCHOOL OF APPLIED COMMUNICATION,39,406,413,400,1219
24Q293,CIVIC LEADERSHIP ACADEMY,69,404,429,407,1240
24Q296,PAN AMERICAN INTERNATIONAL HIGH SCHOOL,55,317,323,311,951
24Q299,BARD HIGH SCHOOL EARLY COLLEGE II,155,545,568,550,1663
24Q455,NEWTOWN HIGH SCHOOL,320,383,440,380,1203
24Q457,YOUNG ADULT BOROUGH CENTER AT ARTS AND BUSINESS HS,,,,,
24Q485,GROVER CLEVELAND HIGH SCHOOL,241,395,420,396,1211
24Q520,MIDDLE COLLEGE HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,58,399,393,385,1177
24Q530,INTERNATIONAL HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,69,326,409,329,1064
24Q550,HIGH SCHOOL FOR ARTS AND BUSINESS,138,391,403,380,1174
24Q560,"ROBERT F. WAGNER, JR. SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY",80,443,447,440,1330
24Q600,QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL,155,417,447,406,1270
24Q610,AVIATION CAREER & TECHNICAL EDUCATION HIGH SCHOOL,396,445,496,423,1364
24Q744,VOYAGES PREPARATORY,,,,,
25Q252,"QUEENS SCHOOL OF INQUIRY, THE",58,455,498,443,1396
25Q263,FLUSHING INTERNATIONAL HIGH SCHOOL,45,314,417,318,1049
25Q281,EASTsWEST SCHOOL OF INTERNATIONAL STUDIES,59,416,463,392,1271
25Q285,WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHOOL,63,471,489,481,1441
25Q425,JOHN BOWNE HIGH SCHOOL,558,397,451,395,1243
25Q460,FLUSHING HIGH SCHOOL,347,393,441,382,1216
25Q467,FLUSHING YABC,9,378,373,344,1095
25Q525,TOWNSEND HARRIS HIGH SCHOOL,278,621,651,638,1910
25Q540,QUEENS ACADEMY HIGH SCHOOL,17,398,382,388,1168
25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHOOL,99,431,458,441,1330
25Q792,NORTH QUEENS COMMUNITY HIGH SCHOOL,7,379,421,377,1177
26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL,888,480,545,489,1514
26Q430,FRANCIS LEWIS HIGH SCHOOL,934,468,539,467,1474
26Q435,MARTIN VAN BUREN HIGH SCHOOL,334,391,397,384,1172
26Q495,BAYSIDE HIGH SCHOOL,708,462,523,464,1449
26Q566,"QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND THE SCIENCES",175,425,434,420,1279
27Q260,FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL,87,387,385,373,1145
27Q262,CHANNEL VIEW SCHOOL FOR RESEARCH,74,432,419,401,1252
27Q302,"QUEENS HIGH SCHOOL FOR INFORMATION, RESEARCH, AND TECHNOLOGY",44,391,401,364,1156
27Q308,ROBERT H. GODDARD HIGH SCHOOL OF COMMUNICATION ARTS AND TECHNOLOGY,93,423,426,416,1265
27Q309,ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL,36,367,379,348,1094
27Q323,SCHOLARS' ACADEMY,89,499,537,496,1532
27Q400,AUGUST MARTIN HIGH SCHOOL,101,377,371,360,1108
27Q410,BEACH CHANNEL HIGH SCHOOL,78,384,396,354,1134
27Q475,RICHMOND HILL HIGH SCHOOL,404,382,404,368,1154
27Q480,JOHN ADAMS HIGH SCHOOL,403,391,409,392,1192
27Q650,"HIGH SCHOOL FOR CONSTRUCTION TRADES, ENGINEERING AND ARCHITECTURE",194,429,491,425,1345
28Q284,YORK EARLY COLLEGE ACADEMY,,,,,
28Q310,QUEENS COLLEGIATE: A COLLEGE BOARD SCHOOL,68,420,445,400,1265
28Q325,HILLSIDE ARTS & LETTERS ACADEMY,,,,,
28Q338,QUEENS SATELLITE HIGH SCHOOL FOR OPPORTUNITY,6,403,408,367,1178
28Q350,JAMAICA GATEWAY TO THE SCIENCES,25,430,452,425,1307
28Q440,FOREST HILLS HIGH SCHOOL,762,456,497,454,1407
28Q470,JAMAICA HIGH SCHOOL,90,342,,353,
28Q505,HILLCREST HIGH SCHOOL,462,395,413,386,1194
28Q620,THOMAS A. EDISON CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,422,452,478,442,1372
28Q680,QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL,99,513,523,502,1538
28Q686,QUEENS METROPOLITAN HIGH SCHOOL,,,,,
28Q687,QUEENS HIGH SCHOOL FOR THE SCIENCES AT YORK COLLEGE,121,612,660,596,1868
28Q690,HIGH SCHOOL FOR LAW ENFORCEMENT AND PUBLIC SAFETY,74,406,406,384,1196
28Q896,"YOUNG WOMEN'S LEADERSHIP SCHOOL, QUEENS",68,439,445,432,1316
29Q248,QUEENS PREPARATORY ACADEMY,52,360,380,359,1099
29Q259,PATHWAYS COLLEGE PREPARATORY SCHOOL: A COLLEGE BOARD SCHOOL,46,401,397,375,1173
29Q265,EXCELSIOR PREPARATORY HIGH SCHOOL,49,402,398,402,1202
29Q272,GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIENCES,59,436,427,424,1287
29Q283,PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD SCHOOL,43,370,,363,
29Q326,CAMBRIA HEIGHTS ACADEMY,,,,,
29Q492,"MATHEMATICS, SCIENCE RESEARCH AND TECHNOLOGY MAGNET HIGH SCHOOL",78,400,426,394,1220
29Q494,"LAW, GOVERNMENT AND COMMUNITY SERVICE HIGH SCHOOL",52,385,377,377,1139
29Q496,"BUSINESS, COMPUTER APPLICATIONS & ENTREPRENEURSHIP HIGH SCHOOL",49,379,414,359,1152
29Q498,HUMANITIES & ARTS MAGNET HIGH SCHOOL,62,393,381,377,1151
30Q286,"YOUNG WOMEN'S LEADERSHIP SCHOOL, ASTORIA",,,,,
30Q301,ACADEMY FOR CAREERS IN TELEVISION AND FILM,98,410,440,405,1255
30Q445,WILLIAM CULLEN BRYANT HIGH SCHOOL,395,414,449,412,1275
30Q450,LONG ISLAND CITY HIGH SCHOOL,392,403,420,395,1218
30Q501,FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,174,504,496,494,1494
30Q502,INFORMATION TECHNOLOGY HIGH SCHOOL,148,407,434,398,1239
30Q555,NEWCOMERS HIGH SCHOOL,143,323,475,329,1127
30Q575,ACADEMY OF AMERICAN STUDIES,135,487,492,491,1470
30Q580,BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,61,524,568,544,1636
31R047,CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES,137,452,451,450,1353
31R064,GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL,61,398,412,385,1195
31R080,THE MICHAEL J. PETRIDES SCHOOL,107,472,488,466,1426
31R440,NEW DORP HIGH SCHOOL,391,424,437,416,1277
31R445,PORT RICHMOND HIGH SCHOOL,271,424,438,417,1279
31R450,CURTIS HIGH SCHOOL,375,437,435,429,1301
31R455,TOTTENVILLE HIGH SCHOOL,807,462,486,470,1418
31R460,SUSAN E. WAGNER HIGH SCHOOL,535,455,474,459,1388
31R470,CONCORD HIGH SCHOOL,10,466,455,414,1335
31R600,RALPH R. MCKEE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,94,416,422,397,1235
31R605,STATEN ISLAND TECHNICAL HIGH SCHOOL,227,635,682,636,1953
31R607,YOUNG ADULT BOROUGH CENTER AT STATEN IS TECH HS,10,405,375,370,1150
32K403,ACADEMY FOR ENVIRONMENTAL LEADERSHIP,50,380,366,352,1098
32K545,EBC HIGH SCHOOL FOR PUBLIC SERVICE–BUSHWICK,88,384,409,361,1154
32K549,BUSHWICK SCHOOL FOR SOCIAL JUSTICE,75,348,353,334,1035
32K552,ACADEMY OF URBAN PLANNING,67,342,364,354,1060
32K554,ALL CITY LEADERSHIP SECONDARY SCHOOL,39,428,465,422,1315
32K556,BUSHWICK LEADERS HIGH SCHOOL FOR ACADEMIC EXCELLENCE,23,347,358,350,1055
32K564,BUSHWICK COMMUNITY HIGH SCHOOL,24,359,317,358,1034
75K371,P.S. 371 s LILLIAN L. RASHKIS,,,,,
75M035,P.S. 035,,,,,
75Q256,P.S. Q256,,,,,
75Q811,P.S. Q811,32,429,444,433,1306
75R025,SOUTH RICHMOND HIGH SCHOOL I.S./P.S. 25,,,,,
75X012,P.S. X012 LEWIS AND CLARK SCHOOL,,,,,
75X754,J. M. RAPPORT SCHOOL CAREER DEVELOPMENT,,,,,
79M645,SCHOOL FOR COOPERATIVE TECHNICAL EDUCATION,,,,,
79Q950,GED PLUS s CITYWIDE,8,496,400,426,1322
79X490,PHOENIX ACADEMY,9,367,370,360,1097
