school_year,building_code,dbn,location_name,location_code,address,borough,geographical_district_code,register,building_name,_schools,schools_in_building,major_n,oth_n,nocrim_n,prop_n,vio_n,engroupa,rangea,avgofmajor_n,avgofoth_n,avgofnocrim_n,avgofprop_n,avgofvio_n,borough_name,postcode,latitude,longitude,community_board,council_district,census_tract,bin,bbl,nta
2015-16,X083,11X083,P.S. 083 Donald Hertz,X083,950 RHINELANDER AVENUE,X,11.0,1721.0,,1,P.S. 083 Donald Hertz,1.0,3.0,8.0,2.0,2.0,8C,1501-1750,0.59,2.3,4.8,1.36,1.17,BRONX,10462.0,40.849395,-73.859249,11.0,13.0,244.0,2045344.0,2041250001.0,Van Nest-Morris Park-Westchester Square                                    
2015-16,X082,,1700 MACOMBS ROAD CONSOLIDATED LOCATION,,1700 MACOMBS ROAD,X,9.0,1141.0,1700 MACOMBS ROAD CONSOLIDATED LOCATION,3,I.S. 232 |  I.S. X303 Leadership & Community Service |  Academy for Language and Technology |  1700 MACOMBS ROAD CONSOLIDATED LOCATION,0.0,0.0,5.0,0.0,0.0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,BRONX,10453.0,40.849623,-73.91607,5.0,14.0,21502.0,2008460.0,2028660070.0,University Heights-Morris Heights                                          
2015-16,X082,09X365,Academy for Language and Technology,X365,1700 MACOMBS ROAD,X,9.0,311.0,1700 MACOMBS ROAD CONSOLIDATED LOCATION,3,I.S. 232 |  I.S. X303 Leadership & Community Service |  Academy for Language and Technology |  1700 MACOMBS ROAD CONSOLIDATED LOCATION,,,,,,3C,251-500,,,,,,BRONX,10453.0,40.849623,-73.91607,5.0,14.0,21502.0,2008460.0,2028660070.0,University Heights-Morris Heights                                          
2015-16,X082,09X303,I.S. X303 Leadership & Community Service,X303,1700 MACOMBS ROAD,X,9.0,319.0,1700 MACOMBS ROAD CONSOLIDATED LOCATION,3,I.S. 232 |  I.S. X303 Leadership & Community Service |  Academy for Language and Technology |  1700 MACOMBS ROAD CONSOLIDATED LOCATION,,,,,,3C,251-500,,,,,,BRONX,10453.0,40.849623,-73.91607,5.0,14.0,21502.0,2008460.0,2028660070.0,University Heights-Morris Heights                                          
2015-16,X082,09X232,I.S. 232,X232,1700 MACOMBS ROAD,X,9.0,511.0,1700 MACOMBS ROAD CONSOLIDATED LOCATION,3,I.S. 232 |  I.S. X303 Leadership & Community Service |  Academy for Language and Technology |  1700 MACOMBS ROAD CONSOLIDATED LOCATION,,,,,,4C,501-750,,,,,,BRONX,10453.0,40.849623,-73.91607,5.0,14.0,21502.0,2008460.0,2028660070.0,University Heights-Morris Heights                                          
2015-16,X081,10X081,P.S. 081 Robert J. Christen,X081,5550 RIVERDALE AVENUE,X,10.0,683.0,,1,P.S. 081 Robert J. Christen,1.0,0.0,0.0,0.0,1.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,BRONX,10471.0,40.903553,-73.905229,8.0,11.0,337.0,2084806.0,2058501550.0,North Riverdale-Fieldston-Riverdale                                        
2015-16,X080,,3202 STEUBEN AVENUE CONSOLIDATED LOCATION,,3202 STEUBEN AVENUE,X,10.0,1530.0,3202 STEUBEN AVENUE CONSOLIDATED LOCATION,2,J.H.S. 080 The Mosholu Parkway |  P.S./M.S. 280 Mosholu Parkway |  3202 STEUBEN AVENUE CONSOLIDATED LOCATION,0.0,9.0,16.0,0.0,5.0,8C,1501-1750,0.59,2.3,4.8,1.36,1.17,BRONX,10467.0,40.877202,-73.881773,7.0,11.0,419.0,2018046.0,2033360035.0,Norwood                                                                    
2015-16,X080,10X280,P.S./M.S. 280 Mosholu Parkway,X280,3202 STEUBEN AVENUE,X,10.0,894.0,3202 STEUBEN AVENUE CONSOLIDATED LOCATION,2,J.H.S. 080 The Mosholu Parkway |  P.S./M.S. 280 Mosholu Parkway |  3202 STEUBEN AVENUE CONSOLIDATED LOCATION,,,,,,5C,751-1000,,,,,,BRONX,10467.0,40.877202,-73.881773,7.0,11.0,419.0,2018046.0,2033360035.0,Norwood                                                                    
2015-16,X080,10X080,J.H.S. 080 The Mosholu Parkway,X080,149 EAST MOSHOLU PKWY,X,10.0,636.0,149 EAST MOSHOLU PKWY CONSOLIDATED LOCATION,2,J.H.S. 080 The Mosholu Parkway |  P.S./M.S. 280 Mosholu Parkway |  3202 STEUBEN AVENUE CONSOLIDATED LOCATION,,,,,,4C,501-750,,,,,,nan,,,,,,,,,
2015-16,X079,,125 EAST 181 STREET CONSOLIDATED LOCATION,,125 EAST 181 STREET,X,10.0,1367.0,125 EAST 181 STREET CONSOLIDATED LOCATION,3,"Elementary School for Math, Science, and Technolog |  School for Environmental Citizenship |  Creston Academy |  125 EAST 181 STREET CONSOLIDATED LOCATION",0.0,0.0,1.0,0.0,0.0,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,BRONX,10453.0,40.854872,-73.903458,5.0,14.0,23704.0,2013849.0,2031700001.0,Fordham South                                                              
