dbn,num_of_sat_test_takers,sat_critical_reading_avg_score,sat_math_avg_score,sat_writing_avg_score,internal_school_id,pct_students_tested
10X660,73,362,382,356,370212,85%
10X667,10,350,356,317,220963,
10X696,92,636,648,636,276137,
11X249,74,370,381,382,264250,
11X253,46,400,357,390,176092,
11X265,81,377,391,367,350123,78%
11X270,56,386,394,361,112591,85%
11X275,72,381,376,354,244509,
11X288,97,444,471,433,929871,92%
11X290,69,387,365,383,465490,78%
11X299,60,387,391,391,421151,92%
11X415,121,367,361,353,222860,
11X418,48,419,433,416,754398,78%
11X455,189,386,397,368,913285,78%
11X513,72,332,381,335,406117,78%
11X514,48,377,372,363,364885,85%
11X541,57,372,382,375,781847,85%
11X542,76,431,438,419,229514,
11X544,55,383,378,365,330785,92%
11X545,46,388,393,382,312943,
12X245,25,348,344,354,827833,85%
12X248,49,347,367,341,653086,85%
12X251,57,381,381,360,183547,
12X262,30,361,353,360,105176,85%
12X267,36,408,432,411,871863,85%
12X271,46,366,378,358,267221,
12X278,34,390,401,364,461474,85%
12X388,30,321,351,298,963012,85%
12X446,14,380,372,349,744847,78%
12X480,16,398,385,398,820126,
12X550,42,304,323,312,502593,85%
12X682,72,342,346,341,620341,
12X684,66,378,374,362,622580,
12X690,31,375,387,376,489113,92%
12X692,43,332,357,349,120278,
13K265,29,352,349,373,428147,
13K336,9,439,374,418,854662,78%
13K350,52,360,364,356,185326,78%
13K412,37,375,355,384,714886,78%
13K419,92,399,417,395,160939,92%
13K430,1277,587,659,587,898973,
13K439,90,305,364,312,220419,
13K483,105,400,417,389,702270,92%
13K499,72,384,364,368,987014,92%
13K509,29,400,390,403,856792,
13K553,8,435,383,379,967293,
13K575,13,398,391,394,684044,92%
13K595,89,438,443,431,805113,85%
13K605,85,406,391,392,937579,
13K670,185,471,472,448,578072,
13K674,20,441,499,413,760103,
14K071,102,365,361,359,257116,78%
14K404,68,387,357,381,994723,78%
14K449,72,586,584,570,384706,78%
14K454,41,407,386,396,806744,
14K474,144,364,379,371,445223,78%
14K477,134,413,396,395,809381,78%
14K478,142,398,421,396,758599,78%
14K488,42,367,373,350,954096,78%
14K558,72,363,385,364,887022,
14K561,113,397,410,380,515769,85%
14K586,31,371,377,355,205730,92%
14K610,94,367,376,350,168856,85%
14K632,12,382,372,368,770235,78%
14K685,28,359,335,341,688392,92%
15K429,52,361,367,383,718798,92%
15K448,76,393,399,387,724775,
15K462,59,398,411,394,637125,
15K463,58,397,391,381,702205,
15K464,72,379,416,380,681987,85%
15K497,64,405,415,392,713236,85%
15K519,77,398,402,385,716876,
15K520,9,352,341,300,619586,92%
15K530,28,368,365,368,660911,85%
15K698,8,430,416,425,203427,92%
16K393,20,355,355,358,773581,
16K455,131,365,370,362,573714,78%
16K498,46,362,372,358,669948,78%
16K594,36,370,372,351,147508,
17K382,59,396,374,369,641887,92%
17K408,57,352,342,351,770770,85%
17K489,7,394,364,334,974876,85%
17K524,71,287,335,291,753042,85%
17K528,46,403,385,388,963941,
17K531,35,348,381,359,626205,85%
17K533,38,377,404,372,534601,78%
17K537,73,338,349,340,613892,85%
17K539,61,362,375,368,513499,78%
17K543,69,457,462,441,999398,85%
17K544,54,386,391,369,637954,78%
17K546,79,418,441,414,936098,
17K547,63,388,382,373,364993,85%
17K548,48,385,393,373,932462,78%
17K568,16,372,356,335,641859,85%
17K590,165,476,481,479,761877,78%
17K600,259,425,413,413,876998,85%
17K625,53,365,363,355,976683,92%
18K563,56,313,320,330,418405,85%
18K566,29,374,377,394,912222,
18K567,54,383,358,377,174472,78%
18K569,43,368,378,346,949243,85%
18K576,63,387,377,379,412625,85%
18K578,17,384,362,351,440929,92%
18K589,48,361,360,359,238681,
18K617,37,404,393,386,927628,78%
18K629,33,393,395,381,827492,85%
18K633,75,386,380,393,969796,
18K635,7,400,370,370,314591,85%
18K637,35,363,381,367,483922,78%
18K642,40,376,385,374,913691,92%
18K673,12,410,403,378,102816,78%
19K409,54,416,432,394,839838,85%
19K502,37,341,349,333,608509,78%
19K504,47,363,349,342,653979,85%
19K507,61,380,386,383,785806,
19K510,68,371,365,370,398688,85%
19K583,29,279,322,286,122756,78%
19K615,182,395,418,380,132815,78%
19K618,60,371,371,354,965429,78%
19K639,57,360,385,363,869608,85%
19K659,51,376,385,368,509280,85%
19K660,74,370,369,363,323270,78%
19K683,38,383,400,374,741399,92%
20K445,456,402,471,399,364847,85%
20K485,238,425,474,424,938208,
20K490,694,417,478,411,379833,85%
20K505,385,383,486,375,620218,
20K658,18,338,477,316,361605,78%
21K337,54,326,386,314,795681,85%
21K344,54,402,427,408,422310,92%
21K348,39,388,398,378,723511,85%
21K410,475,396,437,393,846740,78%
21K525,727,468,496,467,258009,85%
21K540,448,404,468,390,475475,92%
21K559,40,384,375,365,274893,92%
21K572,40,353,370,356,185479,78%
21K620,95,394,414,376,192849,
21K690,119,429,449,435,704701,85%
21K728,10,411,369,373,502505,85%
22K405,824,478,519,476,332013,
22K425,518,436,475,439,327087,92%
22K495,236,383,392,370,275480,
22K535,259,524,561,542,667336,92%
22K555,131,456,456,440,477867,78%
23K493,60,389,409,387,638267,85%
23K514,55,361,371,359,735951,85%
23K643,11,349,338,331,452120,78%
23K646,7,311,371,311,160203,78%
23K647,17,350,346,332,719582,78%
23K697,69,392,416,388,296255,92%
24Q264,89,405,454,421,654836,85%
24Q267,39,406,413,400,554115,85%
24Q293,69,404,429,407,596521,85%
24Q296,55,317,323,311,378878,78%
24Q299,155,545,568,550,362876,78%
24Q455,320,383,440,380,344317,92%
24Q485,241,395,420,396,900889,78%
24Q520,58,399,393,385,902216,
24Q530,69,326,409,329,855084,92%
24Q550,138,391,403,380,501780,92%
24Q560,80,443,447,440,702975,
24Q600,155,417,447,406,683431,
24Q610,396,445,496,423,777331,92%
25Q252,58,455,498,443,333672,78%
25Q263,45,314,417,318,416654,
25Q281,59,416,463,392,208611,
25Q285,63,471,489,481,900895,
25Q425,558,397,451,395,636437,78%
25Q460,347,393,441,382,141602,85%
25Q467,9,378,373,344,223328,78%
25Q525,278,621,651,638,362526,78%
25Q540,17,398,382,388,661632,
25Q670,99,431,458,441,591892,92%
25Q792,7,379,421,377,847586,78%
26Q415,888,480,545,489,375591,78%
26Q430,934,468,539,467,148605,
26Q435,334,391,397,384,152888,78%
26Q495,708,462,523,464,584531,
26Q566,175,425,434,420,150229,85%
27Q260,87,387,385,373,216311,85%
27Q262,74,432,419,401,968929,78%
27Q302,44,391,401,364,292533,85%
27Q308,93,423,426,416,676177,
27Q309,36,367,379,348,933051,92%
27Q323,89,499,537,496,291769,78%
27Q400,101,377,371,360,691098,78%
27Q410,78,384,396,354,503694,
27Q475,404,382,404,368,156250,78%
27Q480,403,391,409,392,863765,92%
27Q650,194,429,491,425,776444,85%
28Q310,68,420,445,400,880835,78%
28Q338,6,403,408,367,553915,92%
28Q350,25,430,452,425,904223,78%
28Q440,762,456,497,454,597825,78%
28Q505,462,395,413,386,317746,85%
28Q620,422,452,478,442,353160,85%
28Q680,99,513,523,502,745665,85%
28Q687,121,612,660,596,936593,92%
28Q690,74,406,406,384,216035,
28Q896,68,439,445,432,597664,92%
29Q248,52,360,380,359,505363,85%
29Q259,46,401,397,375,231477,92%
29Q265,49,402,398,402,268657,85%
29Q272,59,436,427,424,458826,92%
29Q492,78,400,426,394,790855,92%
29Q494,52,385,377,377,245490,85%
29Q496,49,379,414,359,455709,
29Q498,62,393,381,377,341277,78%
30Q301,98,410,440,405,515061,78%
30Q445,395,414,449,412,894217,85%
30Q450,392,403,420,395,352878,92%
30Q501,174,504,496,494,794171,92%
30Q502,148,407,434,398,730551,
30Q555,143,323,475,329,305938,78%
30Q575,135,487,492,491,180221,
30Q580,61,524,568,544,595723,78%
31R047,137,452,451,450,654645,92%
31R064,61,398,412,385,140691,92%
31R080,107,472,488,466,844244,
31R440,391,424,437,416,909567,92%
31R445,271,424,438,417,145678,
31R450,375,437,435,429,315495,92%
31R455,807,462,486,470,308512,92%
31R460,535,455,474,459,240660,
31R470,10,466,455,414,974386,
31R600,94,416,422,397,730239,85%
31R605,227,635,682,636,739097,
31R607,10,405,375,370,653176,78%
32K403,50,380,366,352,501650,92%
32K545,88,384,409,361,221431,85%
32K549,75,348,353,334,954491,85%
32K552,67,342,364,354,695572,92%
32K554,39,428,465,422,587220,
32K556,23,347,358,350,658210,92%
32K564,24,359,317,358,898918,92%
75Q811,32,429,444,433,467937,78%
79Q950,8,496,400,426,544514,92%
79X490,9,367,370,360,248647,85%
